loan_word;puris_equivalent
collegist;landtsleerling, landtsvoedeling
collette;borstlap, halsdoek
collideren;t’zamenbótsen, schókken, t’zamenstooten
colliere;borstlap, halsdoek, halsbandt
colligeren;t’zamenbinden, t’zamenghaderen, t’zamenraapen, besluiten, by een
collisie;t’zamenhorting, t’zamenbótzing
collitigateur;meedepleiter
collitigeren;samendingen, samenpleiten, meededingen
collocatie;t’zamenplaatzing
colloceren;t’zamenplaatsen
colloquie;t’zamenspraak
colluctatie;t’zamenworsteling
collucteren;t’zamenworstelen
colluderen;toekaatsen, t’zamenspeelen, den bal toekaatsen, besteeken, meêspeelen, heimelijck verstandt te zamen hebben
colluëren;spoelen, anspoelen
collusie;toekaatsing, t’zamenspeeling, meedespeeling, heimelijk verstandt, t’zamenheuling, speeling, zinspeeling, toespeeling
colluvie;t’zamenvloeying
colom;pylaar, stijl, zuil
colonel;bendoverste
colonie;bewooning, vólkplanting, leenhóf
coloquint;bitterappel, quintappel
coloreren;beverwen
combat;ghevecht
combinagie;combinatie, t’zamenvoeghing
combineren;t’zamenvoeghen
combureren;verbranden
combustibel;verbrandbaar
combustie;onsteekendheydt, ontsteeking, brandt, verbranding
comediant;kamerspeeler, tooneelspeeler
comedie;schouwspel, blyspel
comeet;staertster, ghehaerde ster
comitie;landtdagh, rijksdagh, daghvaart
commandement;ghebódt, bevel
commanderen;ghebieden, beveelen
commandeur;bevelhebber, beveeler
commandeurschap;bevelhebberschap
commemorabel;verhaalenswaerdigh, herdenkenswaerdigh, herdenkbaar, overdenkbaar, vertelbaar
commemoratie;herdenking, herhaaling
commemoreren;herdenken, herhaalen, vertellen
commendabel;anprijsbaar, prijswaerdigh, anprijzenswaerdigh
commendatie;anprijzing, anbeveeling
commenderen;anprijzen, anbeveelen
commensaal;disghenoot, tafelghast, tafelier
commensurabel;t’zamenmeetelijk
commensureren;t’zamenmeeten, bemeeten
commentarie;bedenking, overlegghing, verklaaring, anteekening, uitlegghing, gheheughboek, ghedachtenisboek
commentateur;uitleggher, verklaarer
commentatie;verklaaring, verziersel
commenteren;verklaaren, anteekening maaken
commercie;koophandel, verhandeling, handteering, ghemeenschap
commere;ghemoeder, doopheffer
commessatie;brassery
commesseren;brassen, banketten, smetsen, slempen, smullen, ghasthouden
commigratie;verhuizing
commigreren;verhuizen, zich neederzetten
commijs;bevelhebber
comminatie;dreighing
commineren;dreighen
comminuëren;kneuzen, vermorzelen
comminutie;verkleining, verbrijzeling
commisceren;vermengen
commiseratie;erberming, deernis, meêdooghen, meedelijden
commisereren;erbarmen, deernis hebben
commissariaal;ghemachtighdlijk
commissaris;bevelhebber, ghemachtighde, haaghezette rechter, ghezette rechter
commissie;bevel, last
commitigatie;vermurwing, verzafting
commitigeren;vermorwen
committeerde;bevelhebber, ghemachtighde, volmaght
committent;bevelgheever
committeren;bevel gheeven, beveelen, lasten, bedrijven, teeghenstellen, pleegen, beghaan, by een voeghen, verzamelen, te bewaaren gheeven
commixtie;vermenging
commodatie;leening
commoderen;leenen
commodieux;ghemakkelijk, gherijffelijk
commoditeyt;bequaamheidt, ghemak, gheleeghenheidt, gherijf, ghevoegh, ghedienstigheydt
commonitie;vermaaning, waarschouwing, erinnering
commotie;beroerte, beroering, ontroering, oploop
commovement;beweeghing, beroering
commoveren;beweeghen, roeren, verroeren
commun;ghemeen
communicabel;meededeelbaar
communicabiliteyt;ghemeenbaarheidt, meededeelbaarheidt
communicatie;ghemeynschap, ghemeynmaaking, beraading, beraadslaghing, meededeeling
communicatoir;meededeelbaar, ghemeenmaakbaar
communiceren;meededeelen, te raade neemen, ghemeen maaken, deelachtigh
communie;ghemeynschap
commutatie;verwisseling, omstel, mangeling
commuteren;mangelen, wisselen, veranderen
compact;verbondt, verding, verdragh
compagnie;ghezelschap, maatschap, krijghsbende, maatschappy, makkerschap, vennootschap
compagnon;ghezel, makker, maat, meedeghenoot, meedestander, vennoot
comparaison;ghelijkenis, verghelijking
comparant;verschijner
comparatie;verghelijking
compareren;’t zamenkomen, verschijnen, verghelijken, vertoonen
comparitie;t’zamenkomst, byeenkomst, verschijning
compas;passer, streekwijzer
compassie;meedelijden, meêdooghen, deernis
compateren;meededooghen, meedelijden
compatibel;meedelijdigh, lijdelijk, ghedooghzaam
compatriot;landtsman
compeer;ghevader, doopheffer
compelleren;toedrijven, anklaaghen, anspreeken, dwingen, benoemen
compendie;verkortsel, kort beleedt
compendieux;beknópt, behendigh, inghedrongen, in een verkort
compensatie;’t zamenghelding, verlijking, verghelding, vereevening
compenseren;t’zamenghelden, verghelden, vereevenen, verghelijken
compesceren;bedwingen, beteughelen, betoomen
competent;behoorlijk, onderhoorigh
competentie;behoorlijkheidt, behoorte
competeren;behooren, anghaan, schuldigh zijn, toebehooren, ankomen, toekomen, voeghen, meedebegheeren
complacentie;believing, behaaghing
complaceren;ghelieven, believen
complainte;beklagh, klaghte
complecteren;omhelzen, omvanghen, behelzen
compleet;volkomen, voltooidt, vol
complexie;aart, ghesteltheidt, omtóght, omhelzing, behelzing
complice;makker, meedepleegher
complimenten;eerdienstigheeden, dienstbiedingen, dienstreeden, ghedienstigheeden, plichtpleeghingen, plichtreeden
complimenteren;plichtpleeghen, dienstbieden
complot;t’zamenspanning, anslagh, opstel
complotteren;t’zamenspannen
complottery;t’zamenspanning
complotteur;t’zamenspanner
componeren;‘tzamenstellen, toestellen, omstellen, verdraaghen, dichten, verzoenen, in min overkomen
componist;zangmaaker, maaker
comportement;voere, wandel, handel en wandel, ghedraaghing
comporteren;ghedraaghen, aanstellen, t’zamendraaghen, byeendraaghen
composant;composeur, t’zamensteller, verzoener, afmaaker
composeren;verdraaghen, overeenkomen, ghevoeghen, t’zamenvoeghen, afmaaken, zoenen, t’zamenstellen, t’zamenzetten, toestellen, maaken
compositie;t’zamenstelling, toestelling, verdragh, menging, schiklijkheidt, t’zamenzetting, afmaaking, verzoening
compost;zultespijs, sierkóst, lekkerny, mengelspijs, zulting, zultsel
compoteur;drinkbroer, meededrinker, drinkmakker, drinkghezel, ghelaghmaat, ghelaghghenoot, laghghenoot
comprehenderen;bevatten, beghrijpen, vervangen, verstaan, omvatten
comprehensie;bevatting, beghrijping, verstaaning, omvanging, omgrijphing
compres;ghedrongen, gheperst, druksel
compressie;toepassing, toedrukking, drang
comprimeren;toeparssen, toedrukken, bedwingen
comprobatie;ghoedtkenning, ghoedtvinding, ghestaading
comproberen;ghoedtkeuren, ghoedtvinden, gestadighen
compromis;toezegghing, verblijfbelófte
compromittent;verblijver
compromitteren;toezegghen, verblijven, belooven, t’zamenbelooven
comptant;in ghereeden ghelde
comptoir;reekenkamer, reekentafel, schrijfkamer, banke, wissel
compulsie;t’zamendrift, toedrijving
compulsorien;dwangbrieven
computatie;reekening, t’zamenreekening
computeren;reekenen, anreekenen, achten, schatten
con ugie;toevlucht
concederen;toestaan, bewillighen, toelaaten, verleenen, ghunnen
concept;beghrijp, ontwerp
conceptacle;verblijfplaats, beghrijpplaats
concerneren;betreffen, behooren, anghaan
concert;overeenkomst, onderhandeling
concertatie;strijding, t’zamenstrijding
concerteren;strijden, reedenkavelen, handelen
concessie;toestaaning, toelaating, bewillighing
concideren;neêrvallen, verghaan, verderven
conciliatie;bevreedighing, verzoening
concilie;raadtsverghadering, landtdagh, landtraadt, kerkverghadering, kerklijke
concilieren;bevreedighen, verzoenen
concinneren;sieren, t’zamenveeghen, toestellen, toerusten, t’zamenvoegen
concinniteyt;welschikkelijkheydt, welgheschiktheidt
concipiëren;beghrijpen, ontwerpen, opneemen, ontfangen
concisie;doorsnijding
concitatie;verwekking, anmaaning
conciteren;anporren, oprooyen, anprikkelen, anmaanen
conclave;kamer, vertrek
concluderen;besluyten
conclusie;slót, besluyt
concoctie;kooking, verdouwing, verteering
concomitantie;verzelling
concomiteren;verzellen
concoqueren;verduwen, verteeren
concordaat;verdragh, overeenkomst
concordantie;t zamenstemming, overeenstemming
concorderen;overeenstemmen, eens zijn, overeenkomen
concordie;eenstemmigheydt, eendraght, eendraghtigheydt
concorporatie;belyving, belicchaaming
concorporeren;belicchaamen, belijven
concreatie;meedeschepping, t’zamenschepping
concreëren;t’zamenscheppen, meêscheppen
concreperen;uytbersten
concubine;byzit, boel, bywijf
conculcatie;vertreeding, vertrappeling
conculceren;vertreeden, vertrappelen
concupiscentie;begheerlijkheydt
concupisceren;begheeren
concurrentie;t’zamendeeling, meededeeling, t’zamenloop, t’zamenkooming
concurreren;’tzamenloopen, meededeelen
concursie;t’zamenloop
concussie;slaaning, schókking, samenhorting, gheldtafeissching, gheldtafparssing, kneevelery
condemnatie;verdoeming
condemneren;doemen, verdoemen, veroordeelen, verwijzen
condensatie;verdikking
condenseren;verdikken
condependent;meedeafhangend, samenafhangend
condependentie;t’zamenafhang, meedeafhanging
condependeren;t’zamenhangen, t’zamenafhangen, meêafhangen
condescendentie;inwillighing, toestemming
condescenderen;aftreeden, inwillighen, toestemmen
condiceren;belooven, toezegghen, ontbieden, anzegghen, voor recht daaghen, weedereisschen, intrekken
condictie;wedereissching, ontbieding, toezegghing, anzegghing, daaghing, intrekking
condiscipel;schoolghezel, leerghezel, meedeleerling
conditeur;schepper, maaker, stichter
conditie;beding, voorwaarde, besprek, staat, aart, gheleeghenheidt
conditioneel;met voorwaarde, met beding, voorwaardigh
conditioneren;bespreeken, voorwaardighen, bedingen, bevoorwaarden
condoleantie;leedt, beklaaghing, rouw-klaght, rouwbeklaaghing
condoleren;leedt beklaaghen, rouw beklaaghen, meededroevigh zijn
condonatie;vergheeving
condoneren;vergheeven, toegheeven, schenken
conducteur;leidtsman, huurman
conductie;huur, verhuuring
conduite;gheley, beleidt
conduplicatie;weêrhaaling, verdubbeling
condupliceren;verdubbelen
confabulatie;t’zamenpraating, klapping
confabuleren;praaten, t’zaamenpraaten
confectie;suikerkóst, suikerwerk, doorsuikering, toemaaking, opmaaking, volbrenging, volmaaking, toebereidsel, toemaaksel
confederatie;verbondtmaaking, bondtghenootschap
confedereren;verbondt maaken
conferentie;t’zamenspraak, t’zamendraght, reeden wisseling
confereren;inbrengen, reeden wisselen, opdraaghen, verghelijken, toebrengen, samenbrengen
confessant;belyder, bekenner
confesseren;belijden, bekennen, bieghten
confesseur;bieghtvader, bieghteling
confessie;belijdenis, bieght, bekentenis
confessoir;bekennende, belijdende
conficeren;volmaaken, afvaerdighen
conficiëren;voleinden, ten einde brengen
confident;vertrouweling, vrymoedigh
confidentie;vrymoedigheidt, vertrouwelijkheidt, onbeteuterdheidt, onvertzaaghdheidt
confideren;confiëren, betrouwen
configeren;doorrijghen, t’zamenhechten
configuratie;t’zamenstaltighing, ghelijkstaltighing
configureren;ghelijkstaltighen
confijt;suikerooft, suikerzult
confijten;inzulten, zulten, doorsuikeren
confineren;bepaalen
confirmatie;bevestighing, versterking, ghestadighing
confirmeren;bevestighen, versterken, ghestadighen
confiscatie;verbeurdtmaaking, anslaaning
confisqueren;verbeurdt maaken, anslaan
confiteren;belijden, bekennen, bieghten
confiture;suikerwerk, suikerghebak, inzulting, ghesuikerdt ooft, suikerooft
conflagratie;verbarning
conflagreren;verbarnen
confleren;t’zamenrukken, t’zamenblaazen
conflict;t’zamenstrijdt, kamp, ghevecht, slagh
confligeren;kampen, t’zamenstrijden
confluentie;t’zamenvloeying
conflueren;t’zamenvloeyen
confoir;verwarmtest, tafeltest
confonderen;verwarren, beschaamen
conform;ghelijkvórmig
conformatie;ghelijkvórming
conformeren;verghelijken, ghelijkvórmen, ghelijkstellen, na schikken
conformiteyt;ghelijkvórmigheydt
confort;versterking, troost, verfrissching
conforteren;versterken, moedighen, troosten
confrater;spitsbroeder, meedebroeder, ghebroeder
confringeren;verbreeken
confrontatie;overeenbrenging, teeghen elkaâr stelling, bevoorhoofding
confronteren;samenverghelijken, teeghen elkaâr stellen, overeenbrengen
confugeren;toevlucht hebben, toevluchten, toevlucht neemen
confunderen;vermengen, verwarren, beschaamen
confusie;verwarring, beschaaming, vermenging
confutatie;weederlegghing
confuteren;weederlegghen
confuus;verwardt, beschaamdt, ontsteldt
congé;verlóf, oorlóf
congelatie;bevriezing
congeleren;stremmen, bevriezen, stóllen
congereren;t’zamendraaghen, t’zamenbrengen, t’zamenhoopen
congerie;stapel, tróppel
congessie;t’zamenhooping, t’zamenbrenging
congratulatie;beghroeting
congratuleren;beghroeten, ghelukwenschen
congregatie;verzameling
congregeren;verzamelen, verghaderen
congruent;ghevoeghlijk
congruentie;congruiteit, ghevoeghlijkheydt, overeenkoming
congruëren;ghevoeghen, overeenkomen
coniculair;hoornachtigh
conjecture;ghissing, raadtsel, raming
conjectureren;ghissen, raamen
conjugeren;conjungeren, ’t zamenvoeghen
conjunct;byghevoeghdt
conjunctie;t’zamenvoeghing
conjunctif;ghezamendlijk
conjuncture;t’zamenvoeghing, ghesteldheydt, loop des tijdts
conjurateur;t’zamenzweerer, vloekghenoot, eedtverwant, eedtghenoot, vloekverwant
conjuratie;t’zamenzweering, bezweering, eedtghespan, vloekghenootschap, vloekverwantschap
conjureren;t’zamenzweeren, bezweeren, bemaanen
connecteren;t’zamenknoopen, ’t zamenhechten
connexie;t’zamenknooping, verknochting, aneenbinding
conniventie;ooghluyking
conniveren;ooghluyken, door de vingeren zien
connotatie;meedebeteekening
connoteren;meêbeteekenen
conquadratie;vierkanting
conquadreren;vierkanten
conquereren;beklaaghen, klaaghen
conquest;verovering, overwinst
conquesteren;veroveren, verkrijghen, winnen
conquesteur;veroveraar, overwinnaar, verkrijgher
conrector;meêschoolvooghdt, onderschoolvooghdt
consacratie;toeheilighing
consacreren;toeheilighen, heylighen, wyen, toewyen
consalutatie;meêghroeting
consaluteren;beghroeten, meedeghroeten
consanguiniteyt;bloedtvriendtschap, maaghschap, bloedtverwantschap
conscenderen;klimmen
conscientie;gheweeten, ghewisse
conscientieux;ghódtsdienstigh, vroom, oprecht, naauwghezet
conscinderen;doorsnijden, doorhouwen, doorhakken
conscriberen;schrijven, beschrijven
conscriptie;t’zamenschrijving, gheschrift, beschrijving
consecratie;consecreren, ziet consacratie, enz
consectateur;anhanger, navólgher
consecutie;vervólgh
consent;bewillighing, toestemming, oorlóf, verlóf
consentement;overeenstemming
consenteren;bewillighen, toestemmen, inwillighen, toestaan, verlóf gheeven
consentieren;samen stemmen, overeenstemmen
consequent;vólghende, dies vólghends
consequentie;ghevólgh
consequeren;vervólghen, verkrijghen, erlangen, achtervólghen, achterhaalen
conservatie;bewaaring, onderhouding, behouding, behoeding, ghoedthouding
conserve;inzulting
conserveren;bewaaren, behouden, beschutten, ghoedthouden, behoeden, onderhouden
considerabel;anmerkelijk, nadenkelijk
consideratie;inzicht, anmerking
considereren;inzien, bezinnen, anmerken
consignatie;onder recht legghing, verzeegheling
consigneren;onder recht legghing, verzeeghelen, verzeekeren
consiliatie;raadtpleeghing
consilie;raadtslagh, raadt, opzet, raadtbesluit
consiliëren;raadtslaan, raadtpleegen
consistentie;bestendigheidt, t’zamenbestaanlijkheidt, ghestandigheidt
consisteren;bestaan
consistorie;kerkenraadt, raadtkamer
consolatie;vertroosting, troost
consoleren;vertroosten
consolidatie;heeling, wondtheeling, vermenging van twee gherechtigheden, verstijving, verdichting, t’zamendichting
consolideren;t’zamenhechten, gheneezen, heelen, t’zamenheelen
consommatie;voleinding, vervulling
consommeren;voleinden, voltrekken
consonant;meedeklinker, meêklinkletter, meêluidende
consonantie;meêklank, t’zamenklank, eenstemmigheidt
consoneren;meedeklinken, meêluiden, toestemmen
consort;meedestander, makker, meedeghenoot
conspectie;anschouwing, beschouwing
conspiciëren;anschouwen, zien
conspicue;klaarblijkend
conspirateur;t’zamenzweerer, anspanner, vloekverwant, eedtghenoot, eedtverwant
conspiratie;t’zamenspanning, anspanning, t’zamenzweering, vloekverwantschap, eedtghespan, vloekghenootschap
conspireren;t’zamenspannen, anspannen
constant;standtvastigh, bestendigh
constantie;standtvastigheydt, volharding
constapel;busschieter
constellatie;ghesternte, t’zamensterring
consteren;bestaan, blijken, standthouden
constituant;beleggher, insteller, maghtgheever, lastgheever:
constituante;beleghster, instelster, lastgheefster: inkomstoverdraaghster
constituëren;stellen, instellen, belegghen, machtigh maaken, inzetten, in zijn plaats stellen
constitutie;stelling, instelling, ghesteltenis
constrictie;bedwang
constringeren;bedwingen, prangen, praamen, verstrikken
constringibel;bedwingelijk
constructie;bouwing, beleydt, t’zamenstelling
construëren;bouwen, belegghen, t’zamenstellen
consuetude;wennis, ghewoonte
consul;raadtsheer, borghermeester
consulant;raadtgheever
consuleren;beraaden, raaden, raadt gheeven, raadtpleeghen
consult;wijs, welberaaden
consultatie;raadtgheeving, raadtpleeghingh, beraadtslaghing
consulteren;raadtpleeghen, beraaden, raadtslaaghen, raadt begheeren, raadt
consumeren;verdoen, verslijten, verteeren, doorbrengen
consummatie;voleinding, vervulling, voltrekking
consummeren;voleinden, voltrekken, vervullen
consumtie;verdoening, verslijting, doorbrenging
contabel;anspreekelijk, telbaar
contagie;besmetting
contagieux;besmettelijk
contaminatie;besmetting, bevlekking
contamineren;besmetten, besmeuzelen
contant;gereedt, loopend, in gereedt geldt
contariëteit;teeghenheidt, strijdigheidt, ongheluk, rechtstrijdigheidt, teeghenstrijdt
contemneren;versmaaden, verachten
contemplatie;overpeynzing, bespiegheling, beschouwing, opghetrokkenheydt, opmerking, anmerking, anschouwing
contempleren;overpeynzen, beschouwen, anschouwen, bespieghelen, overdenken, opmerken
contemptie;versmaading, verachting
contenantie;ghelaat
contendent;twister, kijver, krakeeler, haderer, haderman, dinger, ghedingsanleggher
contenderen;invaaren, twisten, krakkeelen, kijven, pleytanlegghen, eyschmaaken
content;te vreeden, vernoeghdt
contentement;vernoeghing, ghenoeghing
contenteren;vernoeghen, te vreeden stellen
contentie;twist, krakkeel, strijdtreeden, warre, betwisting
contentieux;krakkeeligh, twistigh, twistgeerigh, twistziek, twistachtigh
contenu;inhoudt
contereren;vermorzelen
conterfeiten;namaalen, namaaken, uitschilderen, afbeelden
conterfeitsel;afbeeldsel, nabeeldsel
contestatie;betuighing, meêghetuighing
contesteren;betuighen, meedeghetuighen
conthoralen;bedtghenooten, echtghenooten
contigue;gheraaklijk, anstootende
contiguiteit;raaklijkheidt, raakendheidt
continent;onthoudende, maatigh, inghetooghen
continentie;inhouding, inghebondenheidt, onthouding, inghetooghenheidt
contineren;bevatten, beghrijpen, vatten, inhouden, onthouden
contingent;ghebeurlijk
contingentie;ghebeurlijkheidt
contingeren;ghebeuren, betreffen, raaken, anroeren
continuaat;gheduurigh
continuatie;anhouding, volherding, vervólgh, verknóchting, achtervólghing
continueel;continue, verknócht, gheduurigh
continuëren;anhouden, volherden, vervólghen, achtervolghen
contorqueren;wringen, omwringen, in een wringhen, omdraayen
contorsie;omwringing
contra;teeghen
contrabalance;teeghenwicht
contrabalanceren;teeghenweeghen, teeghen opweeghen
contrabande ghoederen;verboodene ghoederen
contrabanderen;teeghenanspannen
contract;overeenkoming, verdragh, overkooming, verkort, eng
contract nuptiaal;houwlijks voorwaarde
contractant;onderhandelaar
contracteren;overeenkomen, verdraaghen, onderhandelen, handelen
contractie;samentrekking
contradebat;teeghenbestrijding, teeghen weederlegghing
contradiceren;teeghenzegghen, teeghenspreeken, weederspreeken
contradictie;teeghenspraak, teeghenzegghing, teeghenspreeking
contraheren;overeenkomen, t’zamenhandelen, verkorten, intrekken, t’zamentrekken
contraineren;dwingen
contrainte;dwang
conträinterrogatorien;teeghenondervraaghingen
contramandaat;teeghenghebódt, teeghenghebieding
contramanderen;teeghenghebieden, afzegghen
contramine;teeghenghracht, teeghenmijn
contrapresentatie;teeghenanbieding
contrapresenteren;teeghenanbieden
contrapunct;teeghenspits
contraremonstrant;teeghenbetooner
contrarie;teeghendeeligh, strijdigh, teeghenstrijdigh, teeghenstrijdende
contrariëren;teeghenstreeven, weederstreeven
contra-schedul;teeghenbrief
contratenor;teeghenmiddelstem, teeghenneurie
contratestatie;teeghenbetuighing
contratesteren;teeghenghetuighen, beroepen, opghetuigen
contraveniëren;teeghenkomen, overtreeden, teeghenghaan, teeghendoen
contraventeur;teeghenstreever, overtreeder
contraventie;overtreeding, teeghenkomst
contrebalance;ziet contrabalance, enz
contrebande;ziet contrabande
contreborg;teeghenbórgh
contrebrief;teeghenbrief
contrecarreren;teeghenstreeven, teeghenghaan, teeghenstaan
contrefort;steunstijl, teeghensterkte
contrefosse;middelghracht, teeghenghracht
contreman;teeghenman, teeghenstander, weederstaaner, teeghenstreever
contremine;teeghengracht, teeghenghraaving, teeghenmuur
contremineren;teeghenmijnen, teeghenwroeten, teeghenanghraaven
contrepoint;teeghenspits, teeghenpunt, teeghengheluidt
contrepois;teeghenwight
contrequarteren;contrequarreren, teeghenstaan, teeghenghaan, teeghenstreeven
contrerol;teeghenboek
contrerolleren;weederschrijven, teeghenboekhouden, teeghenspreeken
contrerolleur;teeghenrólhouder, teeghenboekhouder
contrescharp;bólwerk, teeghenschoepsel, halvemaan, binnenschans
contreventeur;ziet contraventeur, enz
contrey;landtstreek, ghewest
contrezeeghel;teeghenzeeghel, teeghenmerk
contribuabel;opbrengelijk
contribueren;opbrengen, toebrengen, meêdeelen
contributie;opbrenging, schatting, meêdeeling, meêgheeving, verponding, lasten
contristatie;bedroeving
contristeren;bedroeven
controvers;verschillende
controversie;reedenstrijdt, gheschil, twist, verschil, gheding, twistzaak
controverteren;twisten, in gheschil trekken
contubernaal;woonghenoot, huysghenoot
contumaceren;weederspannigh zijn, velligh zijn
contumacie;wreevel, halssterkheydt, wreevelmoedigheydt, hardtnekkigheydt, weederspannigheydt, versmaaheydt, verachting, onghehoorzaamding, gherichts
contumax;weederspannig, halssterk, velligh
contumelie;schamperheydt, laster, smaadt, versmaadheydt, schimp, lasteringh
contumelieux;schamperachtigh, spijtigh
contunderen;kneuzen
conturbatie;verwarring, ontroering
conturberen;beroeren, verwerren
contusie;kneuzing
convalescentie;ghezondtwording, ghezondheydt
convalesceren;ghezondt worden, kraft houden, bestaan
convalideren;standt houden
convelleren;t’zamenrukken, weghrukken, needervallen, needervellen
convenant;verdragh
convenibel;daghvaardelijk, voor recht betrekkelijk, anspraakelijk
convenient;overeenkomende, ghevoeghlijk
convenientie;overkomst, anspraak, overeenkomst, verding, voorwaarde
conveniëren;overkomen, overeenkomen, passen, voeghen, voor recht daaghen, eysschen, daaghvaarden
convent;klooster, t’zamenwooning
conventicule;verghaaringsken, t’zamenrótting, sluipverghadering, smuikverghadering
conventie;t’zamenkomst, overeenkomst, verdragh, eisch, voor recht daaghing, voor recht betrekking, anspraak
conventioneel;besprooken, bedongen
convers;omghekeerdt
conversatie;ommeghang, hanteering, verkeering, ghemeinzaamheydt
converseren;ommeghaan
conversie;bekeering, omkeer, omstel, naverhaal
converteren;omkeeren, verkeeren
convex;ból
convicie;schelding, toenaam, schamperheydt, verwijt
convictie;overwinning, byleeving
conviëren;noodighen
convinceren;overwinnen, overtuyghen
conviva;ghast, ghenoode
conviveren;t’zameneeten, ghastmaalen, byleeven
convoceren;t’zamenroepen
convolutie;omwenteling
convolveren;omwentelen, t’zamenwinden, inwikkelen, bewinden
convooy-gheldt;verlófgheldt, gheleygheldt
convooy-schip;gheleyschip
convoqueren;t’zamenroepen
convoy;gheley, vrygheley, gheleygheldt, leiding, gheleytól
convoyer;gheleyschip
convoyeren;gheleiden
convulsie;kramp, t’zamenrukking
coöperatie;meedewerking
coöpereren;meedewerken, samenwerken
coor;ziet choor
coördinaat;t’zamengheschikt
coördinatie;t’zamenórdening, ghelijkschikking
coördineren;t’zamenschikken
copie;afschrift, uitschrift, naschrift
copiëren;uitschrijven, afschrijven
copieux;ruim, rijklijk, overvloedigh, breedt
copist;afschrijver, naschrijver, uitschrijver
copulatie;kóppeling
copuleren;kóppelen, t’zamenvoeghen, verghaderen
coquin;boef, rabauwdt
cordaat;rechtschapen, moedigh
cordegarde;ziet corps de garde
cordiaal;hartelijk, openhartigh, ghulhartigh, hartsterkende
cordialiteyt;openhartigheidt
cornel;ritmeester
cornet;vaandrigh te paerdt, kromme hoorn, kromme fluit
corporaal;rótmeester, wachtmeester
corporeel;licchaamelijk
corps de garde;krijgswacht, wachthuis
corpulent;lijvigh, dik, ghróf
corpulentie;lijvigheidt, zwaarlijvigheidt
corpus;lijf, licchaam
corpus juris;wetboek, rechtbock
corraderen;t’zamenschrabben
corrasie;t’zamenschrabbing
correct;ghoedt, volkoomen, verbeeterdt
correctie;verbeetering
correctie;berisping, toerukking, happing
corrector;verbeeterer
correspondent;overeenkomer, onderhandelaar, samenhandelaar
correspondentie;overeenkomst, onderhandelaar, samenhandelaar
correspondentie;overeenkomst, t’zamenverstandt, onderlinge t’zamenhandeling, onderhandeling
corresponderen;overeenkomen, t’zamenverstaan, onderhandelen, t’zamenhandelen
corridor;bedekte wegh
corrigeren;verbeeteren, rechten
corripiëren;rukken, toerukken, berispen, beghrijpen, happen
corrival;meedeminnaar, meedevryer, meedeboel
corroboratie;versterking
corroboreren;versterken
corroderen;beknaaghen, beknabbelen
corrogeren;alsins bidden en begheeren
corromperen;verderven, schenden
corrosie;beknaaghing, beknabbeling, ineeting
corrosijf;bijtend, scherp, ineetende
corruëren;neêrstorten, instorten, omvallen, vervallen, neêrvallen, vallen
corrumperen;verderven, met ghiften verleiden, omkoopen
corruptelen;verdervingen, verderfselen, omkoopingen
corruptibel;verderffelijk, omkoopelijk
corruptie;verderving, omkooping
corselet;borstharnas, borstwapen
cortelas;houwer, sabel
cortine;ghórdijn
cosmographie;weereldtbeschrijving, aardrijksbeschrijving, weereldtkunde
costumen;ghewoonten, oude herkomen
cotteren;randen, beranden, kantschrijven
coucheren;neederstellen, stellen, ligghen
couleren;vlieten
couleur;verw
couleuren;verwen, verfgheeven
coupabel;schuldigh, misdaadigh
coupel;paar, twee
cour;hóf
courage;moedt, moedigheidt
courageren;moedt gheeven, moedighen
couragieux;moedigh
courant;ghereedt, loopend, tijdingbrief
courrier;looper, loopboode
cours;loop, ghangstreek, trant, ghebruik
coursier;looppaerdt, oorlóghspaerdt
courtagie;maakelaardy
courtier;maakelaar
courtisan;hoveling, hófjonker
courtisane;hoere, hófjoffer
courtiseren;onderhouden, vroolijk praaten, vryerspeelen, liefkoozen
courtois;hoofsch, heusch, beleefdt
courtoisie;beleefdheidt
cousin;cousijn, neef
cousinage;neefschap, maaghschap
coutelas;korte houwer, kort zwaerdt
couvert;overdekt, ghedekt
couverture;couvert, deksel, verdek, omslagh
covocatie;t’zamenroeping
cpier;ghevangenhoeder, stókwaarder, stókwachter
creancie;gheloofbaarheidt, inschuldt
creancier;schuldteischer
createur;schepper
creatie;schepping
creature;schepsel
credentie;gheloofbaarheidt
credents-brieven;gheloofbrieven, eerbrieven
credentzer;voorproever, proever
credit;gheloof, inschuldt, schuldteischende
crediteren;ghelooven, bórghen, vertrouwen, leenen
crediteur;gheloover, uitbórgher, schuldeischer, vertrouwer, inschulder
creditrice;schuldteischerse, uitbórghster, vertrouwster, gheloofster
creduliteyt;lichtgheloovigheidt
creëren;scheppen
crepuscul;scheemering, tweelicht
crimen;misdaadt, lasterstuk, schuldt
crimen laesae majestatis;crimen de lese majesté, misdaadt van ghequetste
criminaliter;halszaakelijk, misdaadighlijk, lijfzaakelijk
criminatie;betichting, schelding, beschuldighing, anklaaghing
crimineel;misdaadigh, strafwaerdigh, strafschuldigh, strafbaar, lijfzaakigh
crimineren;betichten, schelden, beschuldighen, anklaaghen
cronijk;tijdtschrift, tijdtboek, jaarboek
crotse;bisschopsstaf, opzieners staf
croupier;staertriem, paerdestaertriem
crucifigeren;an ’t kruis hechten
crucifixie;kruishechting
crudeel;cruël, wreedt
crudeliteyt;wreedtheidt
cruent;bebloedt, bloedigh
crustatie;pleystering, bekorting
cubicq;taerling
